"id","categorie","sous_section","nom","unite","stock_actuel","stock_minimum","statut","cree_par","date_creation","types_mouvements_autorises","longueur","largeur","est_template","actif","couleur"
"211","Plomberie et Irrigation","Tubes & tuyaux","PRESSION - DN 63","Nb de tuyaux 6m","27","0","valide","3","""2025-10-18T12:14:42.890Z""","consommation",,,"false","true",
"212","Plomberie et Irrigation","Tubes & tuyaux","PRESSION - DN 75","Nb de tuyaux 6m","20","0","valide","3","""2025-10-18T12:14:42.908Z""","consommation",,,"false","true",
"213","Plomberie et Irrigation","Tubes & tuyaux","PRESSION - DN 90","Nb de tuyaux 6m","0","0","valide","3","""2025-10-18T12:14:42.925Z""","consommation",,,"false","true",
"214","Plomberie et Irrigation","Coudes","COUDE EVAC 45° - DN 125","unité(s)","0","0","valide","3","""2025-10-18T12:14:42.944Z""","consommation",,,"false","true",
"215","Plomberie et Irrigation","Coudes","COUDE EVAC 45° - DN 160","unité(s)","8","0","valide","3","""2025-10-18T12:14:42.961Z""","consommation",,,"false","true",
"216","Plomberie et Irrigation","Coudes","COUDE EVAC 45° - DN 50","unité(s)","8","0","valide","3","""2025-10-18T12:14:42.981Z""","consommation",,,"false","true",
"217","Plomberie et Irrigation","Coudes","COUDE EVAC 90° - DN 32","unité(s)","0","0","valide","3","""2025-10-18T12:14:42.998Z""","consommation",,,"false","true",
"218","Plomberie et Irrigation","Coudes","COUDE EVAC 90° - DN 50","unité(s)","0","0","valide","3","""2025-10-18T12:14:43.016Z""","consommation",,,"false","true",
"219","Plomberie et Irrigation","Coudes","COUDE EVAC 90° - DN 63","unité(s)","0","0","valide","3","""2025-10-18T12:14:43.033Z""","consommation",,,"false","true",
"220","Plomberie et Irrigation","Coudes","COUDE EVAC 90° - DN 75","unité(s)","0","0","valide","3","""2025-10-18T12:14:43.051Z""","consommation",,,"false","true",
"221","Plomberie et Irrigation","Coudes","COUDE JR - DN 25","unité(s)","22","0","valide","3","""2025-10-18T12:14:43.068Z""","consommation",,,"false","true",
"222","Plomberie et Irrigation","Coudes","COUDE JR - DN 32","unité(s)","15","0","valide","3","""2025-10-18T12:14:43.085Z""","consommation",,,"false","true",
"223","Plomberie et Irrigation","Coudes","COUDE JR - DN 40","unité(s)","12","0","valide","3","""2025-10-18T12:14:43.102Z""","consommation",,,"false","true",
"224","Plomberie et Irrigation","Coudes","COUDE JR - DN 50","unité(s)","7","0","valide","3","""2025-10-18T12:14:43.120Z""","consommation",,,"false","true",
"225","Plomberie et Irrigation","Coudes","COUDE PRESSION 45° - DN 110","unité(s)","34","0","valide","3","""2025-10-18T12:14:43.138Z""","consommation",,,"false","true",
"226","Plomberie et Irrigation","Coudes","COUDE PRESSION 45° - DN 32","unité(s)","1","0","valide","3","""2025-10-18T12:14:43.155Z""","consommation",,,"false","true",
"227","Plomberie et Irrigation","Coudes","COUDE PRESSION 45° - DN 50","unité(s)","15","0","valide","3","""2025-10-18T12:14:43.172Z""","consommation",,,"false","true",
"228","Plomberie et Irrigation","Coudes","COUDE PRESSION 45° - DN 63","unité(s)","63","0","valide","3","""2025-10-18T12:14:43.189Z""","consommation",,,"false","true",
"229","Plomberie et Irrigation","Coudes","COUDE PRESSION 45° - DN 75","unité(s)","37","0","valide","3","""2025-10-18T12:14:43.206Z""","consommation",,,"false","true",
"230","Plomberie et Irrigation","Coudes","COUDE PRESSION 90° - 3'","unité(s)","2","0","valide","3","""2025-10-18T12:14:43.223Z""","consommation",,,"false","true",
"231","Plomberie et Irrigation","Coudes","COUDE PRESSION 90° - DN 40","unité(s)","1","0","valide","3","""2025-10-18T12:14:43.242Z""","consommation",,,"false","true",
